epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5748.35,1.01837,0.95973,1.48221,0.77587,0.66882,0.70142,0.39292,1.69794,1.25835,2.515,0.0005945,0.0005945,0.0005945
91,5812.82,0.96232,0.63195,1.58948,0.77927,0.67083,0.70355,0.39383,1.69835,1.25596,2.51719,0.000545,0.000545,0.000545
92,5875.97,0.92534,0.60068,1.56195,0.78407,0.67058,0.70373,0.39359,1.69929,1.25584,2.51998,0.0004955,0.0004955,0.0004955
93,5939.77,0.91397,0.58113,1.5441,0.7846,0.67128,0.70423,0.3958,1.7003,1.25557,2.52317,0.000446,0.000446,0.000446
94,6003.48,0.90092,0.58326,1.53281,0.78171,0.67159,0.7045,0.39596,1.70089,1.25381,2.52724,0.0003965,0.0003965,0.0003965
95,6067.22,0.8961,0.57424,1.52724,0.78118,0.67151,0.70472,0.39566,1.70093,1.25194,2.53063,0.000347,0.000347,0.000347
96,6131.18,0.88608,0.56518,1.51702,0.78575,0.66723,0.70453,0.39511,1.70081,1.25184,2.53384,0.0002975,0.0002975,0.0002975
97,6194.75,0.87848,0.55939,1.51429,0.78578,0.66635,0.70428,0.3946,1.70064,1.25189,2.53727,0.000248,0.000248,0.000248
98,6258.76,0.87081,0.55551,1.50936,0.79156,0.66366,0.70501,0.39513,1.70105,1.2515,2.54147,0.0001985,0.0001985,0.0001985
99,6322.45,0.86662,0.5503,1.50268,0.79364,0.66006,0.70382,0.39504,1.70073,1.24971,2.5446,0.000149,0.000149,0.000149
100,6386.1,0.86188,0.54624,1.49251,0.79353,0.66043,0.70372,0.39415,1.70165,1.24938,2.54814,9.95e-05,9.95e-05,9.95e-05
