epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,3430.06,1.18075,1.13809,1.65109,0.79994,0.68933,0.73222,0.41265,1.6418,1.18147,2.37253,0.0019506,0.0019506,0.0019506
55,3493.41,1.17597,1.14023,1.63983,0.79671,0.68923,0.72743,0.41355,1.63519,1.1657,2.36855,0.0019308,0.0019308,0.0019308
56,3556.81,1.167,1.12888,1.63491,0.8021,0.67672,0.72787,0.4135,1.64061,1.16578,2.37793,0.001911,0.001911,0.001911
57,3620.1,1.1548,1.10325,1.62114,0.82259,0.67517,0.73412,0.4198,1.645,1.16937,2.3891,0.0018912,0.0018912,0.0018912
58,3683.41,1.1497,1.08535,1.62003,0.78318,0.69427,0.73171,0.41801,1.64011,1.1707,2.38132,0.0018714,0.0018714,0.0018714
59,3746.91,1.14047,1.07167,1.60413,0.8263,0.67134,0.73397,0.41796,1.63995,1.16904,2.38693,0.0018516,0.0018516,0.0018516
60,3810.19,1.15075,1.07703,1.61014,0.8134,0.67185,0.73258,0.41365,1.63848,1.17871,2.3916,0.0018318,0.0018318,0.0018318
61,3873.75,1.12914,1.05812,1.59733,0.78358,0.67998,0.72851,0.41284,1.64101,1.17554,2.399,0.001812,0.001812,0.001812
62,3937.22,1.13084,1.05948,1.59948,0.78249,0.69996,0.73759,0.41843,1.64361,1.17233,2.4031,0.0017922,0.0017922,0.0017922
63,4000.71,1.12561,1.04858,1.5961,0.79877,0.6899,0.73199,0.41592,1.65536,1.17851,2.42206,0.0017724,0.0017724,0.0017724
64,4064.12,1.11742,1.04273,1.58835,0.80203,0.68189,0.72975,0.41367,1.65573,1.18018,2.42967,0.0017526,0.0017526,0.0017526
65,4127.35,1.11688,1.04232,1.58626,0.78649,0.69055,0.73017,0.41415,1.66174,1.18829,2.43589,0.0017328,0.0017328,0.0017328
66,4190.68,1.10247,1.0244,1.57631,0.7937,0.69012,0.73042,0.4142,1.66558,1.18434,2.44338,0.001713,0.001713,0.001713
67,4253.8,1.09451,1.00286,1.56529,0.79688,0.68253,0.72501,0.41109,1.6632,1.19225,2.44557,0.0016932,0.0016932,0.0016932
68,4317.26,1.08987,1.01545,1.56584,0.80022,0.68175,0.72231,0.40997,1.66192,1.19759,2.45204,0.0016734,0.0016734,0.0016734
69,4380.65,1.07947,0.9912,1.55252,0.79961,0.68057,0.72493,0.41145,1.65998,1.20813,2.46293,0.0016536,0.0016536,0.0016536
70,4444.07,1.07575,0.97656,1.54572,0.81676,0.66388,0.72494,0.41301,1.65702,1.20933,2.46415,0.0016338,0.0016338,0.0016338
71,4507.51,1.06189,0.96454,1.53848,0.80586,0.67339,0.72572,0.41419,1.65505,1.2061,2.46379,0.001614,0.001614,0.001614
72,4570.82,1.07257,0.97553,1.54232,0.79841,0.67555,0.7244,0.41448,1.6526,1.19262,2.46275,0.0015942,0.0015942,0.0015942
73,4634.12,1.06227,0.95699,1.53469,0.80241,0.67844,0.72437,0.41332,1.65515,1.19142,2.46798,0.0015744,0.0015744,0.0015744
74,4697.59,1.05942,0.95394,1.52911,0.81576,0.67057,0.72577,0.41281,1.65606,1.18494,2.47021,0.0015546,0.0015546,0.0015546
75,4760.76,1.05376,0.95587,1.5297,0.81445,0.6747,0.72642,0.41175,1.65922,1.17976,2.47915,0.0015348,0.0015348,0.0015348
76,4824.05,1.05254,0.94226,1.52574,0.81019,0.67137,0.72453,0.4122,1.6602,1.18465,2.48471,0.001515,0.001515,0.001515
77,4887.51,1.0441,0.94781,1.51926,0.80352,0.68018,0.72246,0.41157,1.6612,1.18823,2.48969,0.0014952,0.0014952,0.0014952
78,4950.95,1.04121,0.93391,1.51734,0.80915,0.68166,0.7249,0.4106,1.66544,1.18453,2.49871,0.0014754,0.0014754,0.0014754
79,5014.22,1.03544,0.92784,1.50891,0.81585,0.67863,0.72418,0.4105,1.66894,1.1809,2.50642,0.0014556,0.0014556,0.0014556
80,5077.4,1.01747,0.90955,1.49905,0.79803,0.68693,0.72476,0.41219,1.66977,1.18056,2.51095,0.0014358,0.0014358,0.0014358
